task	seq_len	difficulty	model	mixer	rank	seed	steps	dim	depth	heads	position_mode	online_train	params_m	mixer_macs_g	train_loss	train_acc	val_loss	val_acc	seconds	tokens_per_sec	peak_mem_mb
mqar-candidate	512	32	mha	mha	0	1	3000	128	3	4	learned	True	0.490626	0.301989888	0.6949005126953125	0.48046875	0.6936561521142721	0.49749755859375	57.876238968999985	1698520.874043909	530.644992
mqar-candidate	512	32	linear	linear	0	1	3000	128	3	4	learned	True	0.490626	0.150994944	0.692657470703125	0.51953125	0.693173261359334	0.50250244140625	176.11024912	558195.7920746368	3265.690112
mqar-candidate	512	32	performer-r32	performer	32	1	3000	128	3	4	learned	True	0.490626	0.126025728	0.6939239501953125	0.5	0.6933258753269911	0.50250244140625	203.521275451	483015.8408852335	3626.49856
mqar-candidate	512	32	rope-lsso-r16	rope-lsso	16	1	3000	128	3	4	learned	True	0.416922	0.070926336	0.696258544921875	0.48828125	0.6942467540502548	0.50250244140625	431.271891774	227939.7333214435	3788.996608
mqar-candidate	512	32	rope-lsso-r32	rope-lsso	32	1	3000	128	3	4	learned	True	0.441498	0.095158272	0.6908721923828125	0.5546875	0.6931460667401552	0.50250244140625	889.5506941649999	110509.7220932143	9146.88512
ruler-vt-candidate	512	42	mha	mha	0	1	3000	128	3	4	learned	True	0.490626	0.301989888	0.6928253173828125	0.50390625	0.6931486688554287	0.5020751953125	103.79321658300023	947113.9178097378	530.644992
ruler-vt-candidate	512	42	linear	linear	0	1	3000	128	3	4	learned	True	0.490626	0.150994944	0.696502685546875	0.45703125	0.6934907305985689	0.5023193359375	220.06192783000006	446710.6190033052	3265.690112
ruler-vt-candidate	512	42	performer-r32	performer	32	1	3000	128	3	4	learned	True	0.490626	0.126025728	0.6927032470703125	0.51953125	0.6933246869593859	0.4976806640625	241.34501289599984	407317.3040553403	3626.49856
ruler-vt-candidate	512	42	rope-lsso-r16	rope-lsso	16	1	3000	128	3	4	learned	True	0.416922	0.070926336	0.6923828125	0.4921875	0.6932171359658241	0.4976806640625	406.4379917609999	241867.15315187923	3788.996608
ruler-vt-candidate	512	42	rope-lsso-r32	rope-lsso	32	1	3000	128	3	4	learned	True	0.441498	0.095158272	0.6952056884765625	0.45703125	0.6935071516782045	0.4976806640625	930.9438806609996	105596.05368499877	9146.88512
