task	seq_len	difficulty	model	mixer	rank	seed	steps	dim	depth	heads	position_mode	params_m	mixer_macs_g	train_loss	train_acc	val_loss	val_acc	seconds	tokens_per_sec	peak_mem_mb
mqar	512	32	mha	mha	0	1	3000	128	3	4	learned	0.521152	0.301989888	1.2039241790771484	0.67578125	5.578638643026352	0.0474853515625	26.15661671099997	3758284.2263639923	535.105536
mqar	512	32	linear	linear	0	1	3000	128	3	4	learned	0.521152	0.150994944	1.4845399856567383	0.61328125	5.683948397636414	0.058349609375	132.75254929400035	740505.5535490405	3270.150656
mqar	512	32	performer-r32	performer	32	1	3000	128	3	4	learned	0.521152	0.126025728	4.07470703125	0.02734375	4.2235439121723175	0.014892578125	151.9391418309997	646995.8880598557	3630.959104
mqar	512	32	rope-lsso-r16	rope-lsso	16	1	3000	128	3	4	learned	0.447448	0.070926336	1.480147361755371	0.6015625	5.367392867803574	0.0523681640625	306.0636087849998	321188.13598991284	3793.425408
mqar	512	32	rope-lsso-r32	rope-lsso	32	1	3000	128	3	4	learned	0.472024	0.095158272	0.8526052832603455	0.7578125	6.379853755235672	0.050048828125	799.0303405430004	123029.12043764838	9151.31392
ruler-vt	512	42	mha	mha	0	1	3000	128	3	4	learned	0.521152	0.301989888	2.039510726928711	0.4921875	5.90766242146492	0.0159912109375	24.433251852000467	4023369.488247279	535.105536
ruler-vt	512	42	linear	linear	0	1	3000	128	3	4	learned	0.521152	0.150994944	3.2014236450195312	0.21484375	4.923420995473862	0.0159912109375	147.66454989300018	665725.1186641104	3270.150656
ruler-vt	512	42	performer-r32	performer	32	1	3000	128	3	4	learned	0.521152	0.126025728	4.13238525390625	0.02734375	4.213426619768143	0.0145263671875	161.85389220100024	607362.5951356177	3630.959104
ruler-vt	512	42	rope-lsso-r16	rope-lsso	16	1	3000	128	3	4	learned	0.447448	0.070926336	2.0337085723876953	0.50390625	6.067372053861618	0.013671875	307.68820090900044	319492.2642778676	3793.425408
ruler-vt	512	42	rope-lsso-r32	rope-lsso	32	1	3000	128	3	4	learned	0.472024	0.095158272	1.0754934549331665	0.6875	7.39173436164856	0.01708984375	786.9832156969997	124912.44799031205	9151.31392
