task	seq_len	difficulty	model	mixer	rank	seed	steps	dim	depth	heads	position_mode	params_m	mixer_macs_g	train_loss	train_acc	val_loss	val_acc	seconds	tokens_per_sec	peak_mem_mb
mqar	256	16	mha	mha	0	1	400	128	3	4	learned	0.488384	0.100663296	3.058258056640625	0.140625	3.4996979236602783	0.07861328125	3.5283545500000173	1857409.709576938	304.353792
mqar	256	16	linear	linear	0	1	400	128	3	4	learned	0.488384	0.075497472	3.111114501953125	0.171875	3.429202288389206	0.109130859375	11.708759629000014	559717.6991974605	1671.858688
mqar	256	16	performer-r32	performer	32	1	400	128	3	4	learned	0.488384	0.063012864	3.71246337890625	0.12109375	3.9334152042865753	0.073486328125	13.43491403599998	487803.64224431047	1852.312064
mqar	256	16	rope-lsso-r16	rope-lsso	16	1	400	128	3	4	learned	0.41468	0.035536896	3.1451263427734375	0.17578125	3.6472748517990112	0.0947265625	24.120063235000003	271707.4137057087	2176.472064
mqar	256	16	rope-lsso-r32	rope-lsso	32	1	400	128	3	4	learned	0.439256	0.047972352	2.794189453125	0.27734375	3.608232408761978	0.098388671875	55.479861467999996	118125.74556949866	5292.455936
mqar	512	32	mha	mha	0	1	400	128	3	4	learned	0.521152	0.301989888	3.77197265625	0.0546875	4.0068159103393555	0.04248046875	3.1812330129999964	4120163.454370645	535.105536
mqar	512	32	linear	linear	0	1	400	128	3	4	learned	0.521152	0.150994944	3.96405029296875	0.06640625	4.159395933151245	0.02783203125	21.08845675499998	621534.3375893232	3270.150656
mqar	512	32	performer-r32	performer	32	1	400	128	3	4	learned	0.521152	0.126025728	4.000213623046875	0.07421875	4.099653005599976	0.038818359375	24.445252734000007	536185.9066308476	3630.959104
mqar	512	32	rope-lsso-r16	rope-lsso	16	1	400	128	3	4	learned	0.447448	0.070926336	4.046875	0.03125	4.172753393650055	0.02587890625	45.61270323299999	287358.5442424989	3793.425408
mqar	512	32	rope-lsso-r32	rope-lsso	32	1	400	128	3	4	learned	0.472024	0.095158272	3.4489593505859375	0.1953125	4.269981682300568	0.031982421875	115.70766412799998	113278.58097196002	9151.31392
mqar	1024	64	mha	mha	0	1	400	128	3	4	learned	0.586688	1.00663296	4.0841064453125	0.0390625	4.165118455886841	0.033935546875	6.218930398999987	4215258.624572372	984.682496
mqar	1024	64	linear	linear	0	1	400	128	3	4	learned	0.586688	0.301989888	4.124267578125	0.02734375	4.184502422809601	0.014404296875	39.56094110300006	662633.376990419	6466.734592
mqar	1024	64	performer-r32	performer	32	1	400	128	3	4	learned	0.586688	0.252051456	4.06756591796875	0.0390625	4.140680968761444	0.029052734375	60.913823714000046	430352.2320825026	7188.253184
mqar	1024	64	rope-lsso-r16	rope-lsso	16	1	400	128	3	4	learned	0.512984	0.141705216	4.1373291015625	0.015625	4.169877290725708	0.02001953125	121.41660643800003	215904.56832102351	7027.332096
