model	seed	rank	best_acc	best_epoch	last_acc	avg_epoch_s	gamma_over_mu	correction_ratio	effective_rank	jsonl	checkpoint	checkpoint_MB
MHA	1	32	0.5551	97	0.5548	3.7147				paper_results/cifar100_cv_main/logs/20260603-182204_cifar100_mha_r32_g0.3_tgi-4.0_d96_L3_h6_s1_ra_mix0.2_cut0.5.jsonl	paper_results/cifar100_cv_main/checkpoints/20260603-182204_cifar100_mha_r32_g0.3_tgi-4.0_d96_L3_h6_s1_ra_mix0.2_cut0.5.pt	1.4393
Nystromformer	1	32	0.5953	92	0.5939	6.6668				paper_results/cifar100_cv_main/logs/20260603-182952_cifar100_nystrom_r32_g0.3_tgi-4.0_d96_L3_h6_s1_ra_mix0.2_cut0.5.jsonl	paper_results/cifar100_cv_main/checkpoints/20260603-182952_cifar100_nystrom_r32_g0.3_tgi-4.0_d96_L3_h6_s1_ra_mix0.2_cut0.5.pt	1.4512
LSSO-r16	1	16	0.5489	98	0.5488	4.2193	0.0230	0.7264	2.3235	paper_results/cifar100_cv_main/logs/20260603-184129_cifar100_lsso_r16_g0.3_tgi-4.0_d96_L3_h6_s1_ra_mix0.2_cut0.5.jsonl	paper_results/cifar100_cv_main/checkpoints/20260603-184129_cifar100_lsso_r16_g0.3_tgi-4.0_d96_L3_h6_s1_ra_mix0.2_cut0.5.pt	1.3296
LSSO-r32	1	32	0.5535	94	0.5532	5.1926	0.0211	0.7837	2.6727	paper_results/cifar100_cv_main/logs/20260603-184901_cifar100_lsso_r32_g0.3_tgi-4.0_d96_L3_h6_s1_ra_mix0.2_cut0.5.jsonl	paper_results/cifar100_cv_main/checkpoints/20260603-184901_cifar100_lsso_r32_g0.3_tgi-4.0_d96_L3_h6_s1_ra_mix0.2_cut0.5.pt	1.4350
MHA	2	32	0.5509	84	0.5490	4.0768				paper_results/cifar100_cv_main/logs/20260603-185810_cifar100_mha_r32_g0.3_tgi-4.0_d96_L3_h6_s2_ra_mix0.2_cut0.5.jsonl	paper_results/cifar100_cv_main/checkpoints/20260603-185810_cifar100_mha_r32_g0.3_tgi-4.0_d96_L3_h6_s2_ra_mix0.2_cut0.5.pt	1.4393
Nystromformer	2	32	0.5978	94	0.5957	7.0713				paper_results/cifar100_cv_main/logs/20260603-190637_cifar100_nystrom_r32_g0.3_tgi-4.0_d96_L3_h6_s2_ra_mix0.2_cut0.5.jsonl	paper_results/cifar100_cv_main/checkpoints/20260603-190637_cifar100_nystrom_r32_g0.3_tgi-4.0_d96_L3_h6_s2_ra_mix0.2_cut0.5.pt	1.4512
LSSO-r16	2	16	0.5485	90	0.5485	3.8566	0.0227	0.7233	2.1139	paper_results/cifar100_cv_main/logs/20260603-191854_cifar100_lsso_r16_g0.3_tgi-4.0_d96_L3_h6_s2_ra_mix0.2_cut0.5.jsonl	paper_results/cifar100_cv_main/checkpoints/20260603-191854_cifar100_lsso_r16_g0.3_tgi-4.0_d96_L3_h6_s2_ra_mix0.2_cut0.5.pt	1.3296
LSSO-r32	2	32	0.5522	91	0.5506	4.7917	0.0214	0.7832	2.4048	paper_results/cifar100_cv_main/logs/20260603-192549_cifar100_lsso_r32_g0.3_tgi-4.0_d96_L3_h6_s2_ra_mix0.2_cut0.5.jsonl	paper_results/cifar100_cv_main/checkpoints/20260603-192549_cifar100_lsso_r32_g0.3_tgi-4.0_d96_L3_h6_s2_ra_mix0.2_cut0.5.pt	1.4350
MHA	3	32	0.5559	91	0.5532	3.7498				paper_results/cifar100_cv_main/logs/20260603-193419_cifar100_mha_r32_g0.3_tgi-4.0_d96_L3_h6_s3_ra_mix0.2_cut0.5.jsonl	paper_results/cifar100_cv_main/checkpoints/20260603-193419_cifar100_mha_r32_g0.3_tgi-4.0_d96_L3_h6_s3_ra_mix0.2_cut0.5.pt	1.4393
Nystromformer	3	32	0.6063	91	0.6037	6.6680				paper_results/cifar100_cv_main/logs/20260603-194212_cifar100_nystrom_r32_g0.3_tgi-4.0_d96_L3_h6_s3_ra_mix0.2_cut0.5.jsonl	paper_results/cifar100_cv_main/checkpoints/20260603-194212_cifar100_nystrom_r32_g0.3_tgi-4.0_d96_L3_h6_s3_ra_mix0.2_cut0.5.pt	1.4512
LSSO-r16	3	16	0.5463	95	0.5458	4.0235	0.0228	0.7132	2.3468	paper_results/cifar100_cv_main/logs/20260603-195350_cifar100_lsso_r16_g0.3_tgi-4.0_d96_L3_h6_s3_ra_mix0.2_cut0.5.jsonl	paper_results/cifar100_cv_main/checkpoints/20260603-195350_cifar100_lsso_r16_g0.3_tgi-4.0_d96_L3_h6_s3_ra_mix0.2_cut0.5.pt	1.3296
LSSO-r32	3	32	0.5557	92	0.5536	4.9798	0.0209	0.7811	2.4437	paper_results/cifar100_cv_main/logs/20260603-200102_cifar100_lsso_r32_g0.3_tgi-4.0_d96_L3_h6_s3_ra_mix0.2_cut0.5.jsonl	paper_results/cifar100_cv_main/checkpoints/20260603-200102_cifar100_lsso_r32_g0.3_tgi-4.0_d96_L3_h6_s3_ra_mix0.2_cut0.5.pt	1.4350
