epoch,global_step,mixer,rank,seed,train_loss,eval_loss,best_eval_loss,lr,seconds,params,max_mem_gb,tokens,nystrom_landmarks
1,677,mha,32,1,0.36667686777857944,0.1963081893324852,0.1963081893324852,7.5e-05,232.08,22164868,22.16,784,
2,1354,mha,32,1,0.1907616951220849,0.1810284885764122,0.1810284885764122,0.00015,231.49,22164868,22.16,784,
3,2031,mha,32,1,0.1807239832166731,0.17212455660104753,0.17212455660104753,0.00014984096049228652,231.5,22164868,22.16,784,
4,2708,mha,32,1,0.17783600101838964,0.1714620089530945,0.1714620089530945,0.00014936358192686305,231.46,22164868,22.16,784,
5,3385,mha,32,1,0.1772678276108498,0.17210178673267365,0.1714620089530945,0.00014856990816388538,231.48,22164868,22.16,784,
6,4062,mha,32,1,0.17657144386403845,0.1691174666583538,0.1691174666583538,0.00014746333783625354,231.48,22164868,22.16,784,
7,4739,mha,32,1,0.17514675959086312,0.16554939210414887,0.16554939210414887,0.00014604860944799426,231.49,22164868,22.16,784,
8,5416,mha,32,1,0.17417009913278647,0.16331438079476357,0.16331438079476357,0.0001443317810832591,231.49,22164868,22.16,784,
9,6093,mha,32,1,0.1720452585878013,0.16294555366039276,0.16294555366039276,0.00014232020446467813,231.5,22164868,22.16,784,
10,6770,mha,32,1,0.16936330173709369,0.15620487958192825,0.15620487958192825,0.000140022493472155,231.5,22164868,22.16,784,
11,7447,mha,32,1,0.16821952294035536,0.16325550705194472,0.15620487958192825,0.0001374484872569107,231.49,22164868,22.16,784,
12,8124,mha,32,1,0.1678067253052396,0.16011728301644326,0.15620487958192825,0.00013460920810872751,231.51,22164868,22.16,784,
13,8801,mha,32,1,0.16689302800897304,0.15698168948292732,0.15620487958192825,0.00013151681425681205,231.48,22164868,22.16,784,
14,9478,mha,32,1,0.16638454798185315,0.1597971585392952,0.15620487958192825,0.00012818454780639114,231.5,22164868,22.16,784,
15,10155,mha,32,1,0.16492247016910613,0.1595364311337471,0.15620487958192825,0.00012462667803398431,231.49,22164868,22.16,784,
16,10832,mha,32,1,0.1655747620512675,0.16071730986237526,0.15620487958192825,0.00012085844028417117,231.49,22164868,22.16,784,
17,11509,mha,32,1,0.16442350974991543,0.15323882654309273,0.15323882654309273,0.00011689597072950676,231.49,22164868,22.16,784,
18,12186,mha,32,1,0.16333733722457505,0.16061120226979256,0.15323882654309273,0.00011275623727295357,231.5,22164868,22.16,784,
19,12863,mha,32,1,0.16378439972768682,0.1601836311817169,0.15323882654309273,0.00010845696688871595,231.48,22164868,22.16,784,
20,13540,mha,32,1,0.1630711376865118,0.15218681380152702,0.15218681380152702,0.00010401656971261527,231.52,22164868,22.16,784,
21,14217,mha,32,1,0.16196618273171928,0.15407881394028664,0.15218681380152702,9.945406020706173e-05,231.5,22164868,22.16,784,
22,14894,mha,32,1,0.16322567965422635,0.15217558950185775,0.15217558950185775,9.478897573820733e-05,231.5,22164868,22.16,784,
23,15571,mha,32,1,0.1615047111689076,0.14804737493395806,0.14804737493395806,9.004129291394452e-05,231.53,22164868,22.16,784,
24,16248,mha,32,1,0.16253353350491784,0.15320795759558678,0.14804737493395806,8.523134204100427e-05,231.52,22164868,22.16,784,
25,16925,mha,32,1,0.1619356738587778,0.15704456672072412,0.14804737493395806,8.037972006746163e-05,231.51,22164868,22.16,784,
26,17602,mha,32,1,0.16115472047552576,0.15401781916618348,0.14804737493395806,7.55072023834419e-05,231.49,22164868,22.16,784,
27,18279,mha,32,1,0.16105919734105753,0.15361989080905913,0.14804737493395806,7.063465385771049e-05,231.46,22164868,22.16,784,
28,18956,mha,32,1,0.1618393359697552,0.1536755704879761,0.14804737493395806,6.578293949110195e-05,231.5,22164868,22.16,784,
29,19633,mha,32,1,0.1593841346121081,0.15202335268259048,0.14804737493395806,6.097283506938274e-05,231.51,22164868,22.16,784,
30,20310,mha,32,1,0.1600532084043128,0.1568922694027424,0.14804737493395806,5.622493819814737e-05,231.51,22164868,22.16,784,
31,20987,mha,32,1,0.16040718018392341,0.15795517906546594,0.14804737493395806,5.1559580100708875e-05,231.5,22164868,22.16,784,
32,21664,mha,32,1,0.16016624185588194,0.15516634061932563,0.14804737493395806,4.6996738556679256e-05,231.5,22164868,22.16,784,
33,22341,mha,32,1,0.15915841947101947,0.15639710262417794,0.14804737493395806,4.255595235405026e-05,231.53,22164868,22.16,784,
34,23018,mha,32,1,0.15963474356265328,0.15525400802493095,0.14804737493395806,3.825623762110341e-05,231.51,22164868,22.161,784,
35,23695,mha,32,1,0.15893770927120346,0.1523899567127228,0.14804737493395806,3.411600639642943e-05,231.49,22164868,22.161,784,
