dataset,model,rank,dim,depth,heads,seed,n_queries,n_docs,corpus_encode_s,query_encode_s,search_s,corpus_encode_sps,query_encode_sps,search_backend,ndcg@10,recall@100,mrr@10
fiqa,mha,32,256,8,8,0,648,57638,76.568,0.06,0.32,752.771,10861.47,gpu,0.07436,0.21217,0.09724
nfcorpus,mha,32,256,8,8,0,323,3633,5.01,0.023,0.021,725.079,14123.413,gpu,0.18944,0.18535,0.36632
scifact,mha,32,256,8,8,0,300,5183,7.141,0.042,0.018,725.77,7182.929,gpu,0.29014,0.66689,0.26281
arguana,mha,32,256,8,8,0,1406,8674,11.59,0.265,0.064,748.421,5309.088,gpu,0.19926,0.66785,0.15632
trec-covid,mha,32,256,8,8,0,50,171332,232.829,0.015,0.034,735.872,3256.548,gpu,0.39918,0.05204,0.60855
fiqa,nystrom,32,256,8,8,0,648,57638,152.683,0.101,0.209,377.501,6417.231,gpu,0.0683,0.20651,0.08374
nfcorpus,nystrom,32,256,8,8,0,323,3633,9.839,0.045,0.021,369.232,7162.965,gpu,0.1603,0.16011,0.32613
scifact,nystrom,32,256,8,8,0,300,5183,14.028,0.056,0.017,369.473,5342.858,gpu,0.25833,0.59806,0.23358
arguana,nystrom,32,256,8,8,0,1406,8674,23.092,0.352,0.061,375.621,3993.999,gpu,0.19233,0.62447,0.14931
trec-covid,nystrom,32,256,8,8,0,50,171332,460.025,0.017,0.034,372.441,2889.475,gpu,0.33763,0.04222,0.586
fiqa,lsso,16,256,8,8,0,648,57638,88.05,0.111,0.21,654.602,5834.927,gpu,0.06841,0.22085,0.08942
nfcorpus,lsso,16,256,8,8,0,323,3633,5.773,0.048,0.021,629.319,6692.421,gpu,0.17204,0.17405,0.32215
scifact,lsso,16,256,8,8,0,300,5183,8.191,0.067,0.016,632.77,4478.096,gpu,0.31576,0.65844,0.28177
arguana,lsso,16,256,8,8,0,1406,8674,13.308,0.386,0.062,651.791,3646.759,gpu,0.20798,0.68279,0.15759
trec-covid,lsso,16,256,8,8,0,50,171332,267.86,0.027,0.035,639.633,1829.257,gpu,0.37126,0.05255,0.54467
fiqa,lsso,32,256,8,8,0,648,57638,104.878,0.19,0.21,549.57,3406.78,gpu,0.07933,0.27303,0.10285
nfcorpus,lsso,32,256,8,8,0,323,3633,6.829,0.085,0.021,531.979,3795.867,gpu,0.17872,0.19202,0.35572
scifact,lsso,32,256,8,8,0,300,5183,9.712,0.107,0.017,533.687,2804.223,gpu,0.33934,0.69511,0.30758
arguana,lsso,32,256,8,8,0,1406,8674,15.879,0.59,0.066,546.244,2382.067,gpu,0.20041,0.6522,0.15706
trec-covid,lsso,32,256,8,8,0,50,171332,316.949,0.035,0.031,540.567,1437.331,gpu,0.35371,0.05294,0.58016
