dataset	model	n	params_M	mixer_MACs_G	mixer_save_vs_MHA	nDCG@10_mean	nDCG@10_std	Recall@100_mean	Recall@100_std	MRR@10_mean	MRR@10_std
arguana	LSSO-r16	3	13.53	0.714	0.6676	0.19896	0.00791	0.66572	0.01485	0.15281	0.00439
arguana	LSSO-r32	3	13.80	0.910	0.5762	0.19783	0.00250	0.65434	0.00370	0.15562	0.00180
arguana	MHA	3	14.33	2.147	0.0000	0.20259	0.00463	0.65386	0.01462	0.15923	0.00529
arguana	Nystromformer	3	14.32	1.270	0.4087	0.18247	0.00887	0.62660	0.00257	0.14134	0.00690
fiqa	LSSO-r16	3	13.53	0.714	0.6676	0.07322	0.00417	0.23141	0.00926	0.09515	0.00502
fiqa	LSSO-r32	3	13.80	0.910	0.5762	0.07686	0.00317	0.24798	0.02581	0.09783	0.00471
fiqa	MHA	3	14.33	2.147	0.0000	0.07372	0.00400	0.24791	0.03096	0.09468	0.00420
fiqa	Nystromformer	3	14.32	1.270	0.4087	0.07253	0.00367	0.22363	0.01652	0.09158	0.00685
nfcorpus	LSSO-r16	3	13.53	0.714	0.6676	0.18015	0.00948	0.18205	0.00717	0.34366	0.02088
nfcorpus	LSSO-r32	3	13.80	0.910	0.5762	0.18704	0.00728	0.18752	0.00740	0.36683	0.01163
nfcorpus	MHA	3	14.33	2.147	0.0000	0.18565	0.00455	0.18469	0.00133	0.35145	0.01487
nfcorpus	Nystromformer	3	14.32	1.270	0.4087	0.16607	0.00813	0.17616	0.01424	0.33327	0.00622
scifact	LSSO-r16	3	13.53	0.714	0.6676	0.30881	0.01171	0.66237	0.01088	0.28142	0.00966
scifact	LSSO-r32	3	13.80	0.910	0.5762	0.33148	0.00748	0.67863	0.01639	0.30112	0.00620
scifact	MHA	3	14.33	2.147	0.0000	0.29838	0.00749	0.66626	0.00829	0.27010	0.00687
scifact	Nystromformer	3	14.32	1.270	0.4087	0.25846	0.01710	0.60176	0.01910	0.23331	0.01883
trec-covid	LSSO-r16	3	13.53	0.714	0.6676	0.38749	0.02089	0.05290	0.00210	0.59606	0.04678
trec-covid	LSSO-r32	3	13.80	0.910	0.5762	0.35382	0.01101	0.04990	0.00270	0.57150	0.02152
trec-covid	MHA	3	14.33	2.147	0.0000	0.38694	0.01121	0.05034	0.00681	0.63578	0.03281
trec-covid	Nystromformer	3	14.32	1.270	0.4087	0.34661	0.00806	0.04465	0.00212	0.55623	0.03954
macro_avg	LSSO-r16	3	13.53	0.714	0.6676	0.22973		0.35889		0.29382
macro_avg	LSSO-r32	3	13.80	0.910	0.5762	0.22940		0.36367		0.29858
macro_avg	MHA	3	14.33	2.147	0.0000	0.22945		0.36061		0.30225
macro_avg	Nystromformer	3	14.32	1.270	0.4087	0.20523		0.33456		0.27115
