release_tag	asset	size_MB	sha256	description
paper-results-v1	cifar100_cv_main_checkpoints.tar	16.99	d55b2da304b39f56dc6fc68bed376c03f0cc21b154bfff42b7012060afbb3ded	CIFAR-100 CV main checkpoints
paper-results-v1	retrieval_ablation_fiqa_checkpoints.tar	780.57	f041aff26bb20a9e4d5ff9013bacff91a588edb6d57c81a239dd2ea0f95aa9e4	FIQA retrieval ablation checkpoints
paper-results-v1	retrieval_ablation_scifact_checkpoints.tar	780.58	6d0c87de2b0eb2d5ed5f977b9cce403a5cd05b4e3ed1e8114080d2f455915d0c	SciFact retrieval ablation checkpoints
paper-results-v1	retrieval_main_fiqa_checkpoints.tar	641.54	3169de477070a2a5e8a91a9a28196e7976ddf0d324a425846433e9010d37ae74	FIQA retrieval main checkpoints
paper-results-v1	retrieval_main_nfcorpus_checkpoints.tar	641.55	47999f92af0cd6832d274c296535d3215459982f08e17eb83abd5596635f39d7	NFCorpus retrieval main checkpoints
paper-results-v1	retrieval_main_scifact_checkpoints.tar	641.55	7c9e8b990f5e8e80d7980f020a8fb233541b259e4af3c0d6215cc886cdc23fd2	SciFact retrieval main checkpoints
paper-results-v1	imagenet100_cv_main_checkpoints.tar	70.53	e35b386fc441ab40317bb21de4005c48bb92e5af31214f57c78d10049a9c825a	ImageNet-100 one-seed CV main-table checkpoints; LSSO-r32 replaced with the controlled Mixup=0.8 CutMix=1.0 run
paper-results-v1	msmarco_beir_transfer_checkpoints.tar	641.12	fbb74a35276d98953b623e53969f2a5736501814e23c0070b2eacfea05792217	MS MARCO pretraining checkpoints used for 3-seed BEIR zero-shot transfer evaluation
paper-results-v1	diffusion_imagenet100_checkpoints.tar	324.80	72b20a33d8b709e96496fc8897db92a02a6aa3a8c3bc825f7190504a3e92a57e	ImageNet-100 latent diffusion final checkpoints for MHA, Nystromformer, LSSO-r16, and LSSO-r32
paper-results-v1	SHA256SUMS	0.00	94b04f406c145028c74000ce9038b8e4db9c7a3377aae13d9669fdff94760760	Checksum file for all release checkpoint archives
