dataset	model	n	params_M	mixer_MACs_G	mixer_save_vs_MHA	R@10_mean	R@10_std	MRR@10_mean	MRR@10_std	samples/s_mean	samples/s_std
fiqa	MHA	3	14.33	2.147	0.0%	0.2145	0.0135	0.0987	0.0032	597.1	16.5
fiqa	Nystromformer	3	14.33	1.301	39.4%	0.2428	0.0039	0.1190	0.0071	375.2	0.4
fiqa	LSSO-r16	3	13.54	0.714	66.8%	0.2258	0.0125	0.1126	0.0061	676.0	17.6
fiqa	LSSO-r32	3	13.80	0.910	57.6%	0.2387	0.0183	0.1150	0.0035	605.7	15.7
nfcorpus	MHA	3	14.33	2.147	0.0%	0.5439	0.0187	0.3809	0.0145	599.3	12.5
nfcorpus	Nystromformer	3	14.33	1.301	39.4%	0.5841	0.0125	0.4323	0.0132	376.1	14.8
nfcorpus	LSSO-r16	3	13.54	0.714	66.8%	0.5686	0.0125	0.4121	0.0036	673.2	20.0
nfcorpus	LSSO-r32	3	13.80	0.910	57.6%	0.5841	0.0036	0.4333	0.0220	599.9	21.6
scifact	MHA	3	14.33	2.147	0.0%	0.6789	0.0190	0.5994	0.0138	581.7	18.3
scifact	Nystromformer	3	14.33	1.301	39.4%	0.7267	0.0133	0.6313	0.0033	366.3	13.9
scifact	LSSO-r16	3	13.54	0.714	66.8%	0.7022	0.0107	0.6214	0.0119	654.3	17.2
scifact	LSSO-r32	3	13.80	0.910	57.6%	0.7089	0.0117	0.6247	0.0080	586.6	18.1
