task,mixer,seed,accuracy_pct,macro_f1_pct,selected_epoch,config_digest,source_commit,git_dirty
demo_coding_vs_intergenomic_seqs,lsso,0,86.072000,86.066560,19,4519e950256e85336dafc2f978163d2a655567e3690103f7016a096689bed4f9,bec1f18750ca4ad364b9d2a5b2ac63359b5cf6c9,false
demo_coding_vs_intergenomic_seqs,lsso,1,81.788000,81.774871,15,4c2257a8dbf30d6fcdae0de4f963b0a3d74e00ca6f29f3f70dc7e2af55095f70,bec1f18750ca4ad364b9d2a5b2ac63359b5cf6c9,false
demo_coding_vs_intergenomic_seqs,lsso,2,81.828000,81.816563,14,d763cf59e2338d9a3048f608b2d0f7b1b33a9f08459906b59ff6a16ca084f0dc,bec1f18750ca4ad364b9d2a5b2ac63359b5cf6c9,false
demo_coding_vs_intergenomic_seqs,mha,0,82.384000,82.379886,37,3586cd4d81131315f3ca35291d4f792f32e0c58dd18a917bdc7193f3519fe384,bec1f18750ca4ad364b9d2a5b2ac63359b5cf6c9,false
demo_coding_vs_intergenomic_seqs,mha,1,78.416000,78.415973,36,2538316e224ca179f40357f4a1cfb10cd0c30c15df7df500f1be0e97d85b5761,bec1f18750ca4ad364b9d2a5b2ac63359b5cf6c9,false
demo_coding_vs_intergenomic_seqs,mha,2,80.208000,80.208000,34,f7c089bb305a2157a2c088a57313ba70b1d8bd10d55cb6e8b16deb4f877237de,bec1f18750ca4ad364b9d2a5b2ac63359b5cf6c9,false
demo_human_or_worm,lsso,0,82.112000,82.098045,25,20b7487d8b475982676f89a5f9a8326f8c74dde810379b56c91fcc57c7c59eec,bec1f18750ca4ad364b9d2a5b2ac63359b5cf6c9,false
demo_human_or_worm,lsso,1,80.216000,80.182230,20,908fac58e72ec8bbc0cf46c816f03631c3f6795218e07ccc5638e34ef3b9796d,bec1f18750ca4ad364b9d2a5b2ac63359b5cf6c9,false
demo_human_or_worm,lsso,2,82.376000,82.375242,23,b1f70cc7b24af1a143fa16e5ec545028a5d59e5eba4b70dad3f8e77971df8783,bec1f18750ca4ad364b9d2a5b2ac63359b5cf6c9,false
demo_human_or_worm,mha,0,65.624000,65.508930,24,f5f4455387a212364540e3a88ac823828bb714ce177e25f74dfded165c7f5ac8,bec1f18750ca4ad364b9d2a5b2ac63359b5cf6c9,false
demo_human_or_worm,mha,1,66.264000,65.992932,21,935fe0e20424efd2157363e47308ab98fcd570b96a80acada46b6a0f449abf1c,bec1f18750ca4ad364b9d2a5b2ac63359b5cf6c9,false
demo_human_or_worm,mha,2,65.720000,65.359030,20,0a1adda755051dbb5f68cd2f4952d0ee5fe64b00f4f83e70d4e37a15364b4bdd,bec1f18750ca4ad364b9d2a5b2ac63359b5cf6c9,false
dummy_mouse_enhancers_ensembl,lsso,0,70.247934,70.197044,2,a44845fa4dc314231a9517440c094c32f6e996a6b31050476de53a0de3c160a1,bec1f18750ca4ad364b9d2a5b2ac63359b5cf6c9,false
dummy_mouse_enhancers_ensembl,lsso,1,69.421488,69.251374,20,eec206682c28e003d80231c57bc8d248deb716f0684a4f649a3419c63dc86a74,bec1f18750ca4ad364b9d2a5b2ac63359b5cf6c9,false
dummy_mouse_enhancers_ensembl,lsso,2,71.074380,71.003081,18,169bca437ece2627341bd9aaef8e45f164fa1cd02fef18ee13a803c5677109d3,bec1f18750ca4ad364b9d2a5b2ac63359b5cf6c9,false
dummy_mouse_enhancers_ensembl,mha,0,72.727273,72.725410,8,fa4cc4154a2ca3c90319faee3f8d789e1e7c12fa662d2abf6ed21272150ab45c,bec1f18750ca4ad364b9d2a5b2ac63359b5cf6c9,false
dummy_mouse_enhancers_ensembl,mha,1,71.074380,71.072404,7,1dc3a59e25ee1bf7fd3b6e078e26d06641c9bd4cf34050dbcef0c83bf3efb154,bec1f18750ca4ad364b9d2a5b2ac63359b5cf6c9,false
dummy_mouse_enhancers_ensembl,mha,2,69.421488,69.318805,3,b4c168a74348c096b775df06b307c778c4030b033e91b9a88f82fa00d848b45f,bec1f18750ca4ad364b9d2a5b2ac63359b5cf6c9,false
human_enhancers_cohn,lsso,0,67.199194,67.199161,10,b8215bbc3287792903ee48d7c908ce4bf52b7335ba7572a286aad530781a1293,bec1f18750ca4ad364b9d2a5b2ac63359b5cf6c9,false
human_enhancers_cohn,lsso,1,66.997697,66.951061,13,6a9f0e9b424f0255908fc13528bf5c2bdbc71fa467582c81dcb421f03f1f2e1e,bec1f18750ca4ad364b9d2a5b2ac63359b5cf6c9,false
human_enhancers_cohn,lsso,2,67.515832,67.510501,12,593ccb46fc604cfce7abb30ecaf8aca4bfff78cf2c68ce21b5d6429efa88c41d,bec1f18750ca4ad364b9d2a5b2ac63359b5cf6c9,false
human_enhancers_cohn,mha,0,66.940127,66.939551,25,76ed178b2c7b0edd50a401babb855c98fc3934140148e428160efe466fd9d770,bec1f18750ca4ad364b9d2a5b2ac63359b5cf6c9,false
human_enhancers_cohn,mha,1,66.911341,66.810491,15,8ea99a21788b809c1604e9d6842b629efea5a4082484fe173d08e5b6075dfadd,bec1f18750ca4ad364b9d2a5b2ac63359b5cf6c9,false
