task,mixer,seed,accuracy_pct,macro_f1_pct,selected_epoch,config_digest,source_commit,git_dirty
listops,lsso,0,38.350000,24.507805,25,bb076873cf08e4864eb06b8e74c5fc9bb6ef2ae1d696df6006892d3a0a9dc1da,3c69cbe1e48c7408efb3a083623ddc44d2cc2fb5,false
listops,lsso,1,37.250000,19.664869,15,9cd6b6448e8e50c472d077fec148f27f3d575cb8f49cc78f613139d8f304d220,3c69cbe1e48c7408efb3a083623ddc44d2cc2fb5,false
listops,lsso,2,37.200000,20.293840,14,3ee06733ad443c3f156e6909c41b44a9c3365e277a03c110d8862528782fad6e,3c69cbe1e48c7408efb3a083623ddc44d2cc2fb5,false
pathfinder,lsso,0,78.585000,78.584432,148,c3567183b3f63afc6ab34ad88a330451bc66ac6291f4ebe78f7902137059d03c,3d40f2c9c068ba6e984c54b12691dec343184d63,false
pathfinder,lsso,1,78.595000,78.583323,146,afe5e347993ec1786ff9835fd916cfb4ff1832b15edd3b7573948786401c278a,3d40f2c9c068ba6e984c54b12691dec343184d63,false
pathfinder,lsso,2,79.175000,79.151252,21,32f70652e4c9fd9147f8b2f0536499a7be10afe9696bcdb946552111a2b36409,3d40f2c9c068ba6e984c54b12691dec343184d63,false
retrieval,lsso,0,82.886965,82.883749,17,97425e1eca57cc4bb4f4fd9175b1a372a4ec0968941fbbe10f060d5e9c1e1b9e,3c69cbe1e48c7408efb3a083623ddc44d2cc2fb5,false
retrieval,lsso,1,82.944314,82.943998,17,b677eb40a0cdd5f7fa6ebe829bba20505662907612fe41562bed43822b3421c8,3c69cbe1e48c7408efb3a083623ddc44d2cc2fb5,false
retrieval,lsso,2,82.795206,82.778505,16,9daeb9fb2d0ceb27879c3cd919ea19226e0462ce0396676e0f6afdaf106eaabb,3c69cbe1e48c7408efb3a083623ddc44d2cc2fb5,false
text,lsso,0,65.712000,65.711731,7,c9e4ad8e6f5cad6d84b794895fe95e1ae2a65699fffe79c930c300d4cdf84062,3c69cbe1e48c7408efb3a083623ddc44d2cc2fb5,false
text,lsso,1,65.004000,64.851077,4,9e1be921b929f37d603d2f34ed218697fd28501d48e9fa7e516c5b0155358bb7,3c69cbe1e48c7408efb3a083623ddc44d2cc2fb5,false
text,lsso,2,64.860000,64.468263,4,fdc32c181127daf7de331e5fe5ab1a3256fcb23c8f9a0179661aa4c35fd3e236,3c69cbe1e48c7408efb3a083623ddc44d2cc2fb5,false
